name	level	heat	longitude	latitude
曲阜孔林	5A	0.84	116.999139	35.624655
天下玉苑	4A	0	121.375556	29.945321
荆州古城	4A	1	112.222609	30.354815
张谷英村		0.74	113.490454	29.010263
天津白蛇谷原生态景区		0	117.446735	40.253585
景忠山	4A	0.72	118.209056	40.201455
前童古镇	4A	0.72	121.35732	29.229797
殊像寺		0	113.59944	39.009202
回民街		0.92	108.94363	34.26187
交河驿·坎儿井源		0	89.130421	43.002525
五云楼		0	117.016456	24.666634
娘子关		1	113.886837	37.971435
喀什老城游览区		0	75.999654	39.483287
威虎山		0	129.298716	44.8243
屏山村		0	117.987148	29.945909
爨底下村		0.7	115.652531	40.001517
淡浮院	4A	0.82	116.706533	23.683279
锡提亚迷城		0	77.407604	37.898112
西溪旅游文化景区		0	120.294675	32.843293
新叶古村		0.7	119.34046	29.334633
檀头山岛		0	122.045826	29.206344
黑庙		0	99.8606945	19.9920677
日俄监狱旧址	4A	0.72	121.271863	38.831197
卢宅		0.72	120.253869	29.268303
沧州河间府署		0	116.099646	38.441998
叠彩伏波景区	5A	0	110.310388	25.289642
禅源寺		0.7	119.45439	30.326002
普救寺	4A	1	110.339054	34.849855
南海神庙	4A	0.72	113.502893	23.086193
终南山秦楚古道		0	109.044617	33.790341
彭家祠		0	112.907157	24.156523
绍兴蔡元培故居		0.72	120.58961	30.013489
珠玑巷		0.76	114.364092	25.195849
朝天宫	4A	0.74	118.781699	32.040399
西夏陵	4A	0.98	105.867708	38.559179
袁林		0.74	114.360872	36.13231
保国寺	4A	0.72	121.526737	29.985855
大如意圣境（苏州大观音禅寺）		0	120.248019	31.102564
德夯苗寨	4A	0.86	109.59824	28.347204
昭化古城	4A	0.88	105.728116	32.341326
锁江楼		0.72	116.014422	29.742833
汉长城		0.76	93.493006	40.301076
喀什石头城		0.82	75.225791	38.062442
中信国安第一城	4A	1	116.913678	39.721352
后沟古村落		0.7	112.919302	37.761657
牛郎织女景区	4A	0	118.267034	36.110605
洛阳灵山寺		0	112.110552	34.512724
永定土楼群（福建客家土楼）		0	116.911064	24.55235
妈阁庙		0.72	113.542846	22.189468
洪秀全故居	3A	0.7	113.180003	23.423541
凡尔赛宫		1	2.1203554	48.8048649
荣县大佛	4A	0.8	104.437751	29.460407
响堂山石窟	4A	0.98	114.167592	36.539243
丫山景区	4A	0	114.41356	25.469317
江油青莲国际诗歌小镇		1	104.698226	31.67459
赵云庙		0.72	114.592971	38.153779
讷殷古城		0	127.570299	41.983519
张居正故居	3A	0.72	112.2217964	30.35275798
李家大院	4A	0	110.731307	35.297387
北港村石头厝		0	119.835148	25.589205
马降龙碉楼群		0.72	112.577644	22.296165
戒台寺	4A	0.7	116.093809	39.875622
洞庭湖		0.8	112.932269	29.023947
北岳庙	4A	0.72	114.703342	38.626242
甘家大院		0.7	118.787996	32.032603
荆州楚王车马阵景区		0	112.021639	30.616244
牛记庵养生度假村		0	117.814082	36.583404
青龙古镇		0.7	112.6370093	38.0279631
枣园革命旧址	4A	0.78	109.428553	36.633613
西门峡漂流		0	109.62073	28.115699
龙澍峪风景区		0	111.324405	35.996032
蟠桃山佛教文化景区	4A	0	117.275513	34.301023
